city_id,city_name,pm10,pm2.5
1,Graz,25,19
2,Wien,26,18
3,Antwerpen,27,17
4,Brussel,25,16
5,Liege,22,15
6,Burgas,36,22
7,Sofia,41,22
8,Zagreb,36,22
9,Lefkosia,47,17
10,Ostrava,41,32
11,Praha,23,17
12,Berlin,24,16
13,Dortmund,25,16
14,Essen,25,16
15,Rostock,22,14
16,Hamburg,21,14
17,Leipzig,25,16
18,Munchen,24,16
19,Aalborg,17,11
20,Kobenhavn,25,13
21,Tallinn,14,8
22,Barcelona,30,16
23,Madrid,19,10
25,Oviedo,25,13
26,Helsinki,21,8
27,Oulu,12,7
28,Bordeaux,25,16
29,Lille,26,19
30,Marseille,32,15
31,Paris,34,20
32,Rennes,19,11
33,Strasbourg,29,18
35,Athinia,41,23
38,Budapest,29,20
39,Miskolc,35,24
40,Dublin,13,8
41,Reykjavik,22,13
42,Bologna,25,17
43,Napoli,35,20
44,Palermo,28,19
45,Roma,28,17
46,Torino,38,29
47,Verona,36,24
48,Vilnius,27,23
49,Luxembourg,22,16
50,Riga,34,17
52,Amsterdam,24,15
53,Groningen,24,13
54,Rotterdam,24,15
55,Oslo,22,11
56,Bialystok,25,20
57,Gdansk,20,13
58,Krakow,51,37
59,Warszawa,33,26
60,Braga,14,7
61,Lisboa,25,11
63,Bucuresti,31,21
64,Cluj-Napoc,28,17
65,Piatra Nea (2014),24,17
66,Malmo,20,10
67,Stockholm,26,6
68,Ljubljana,25,20
69,Bratislava,24,17
70,Kosice,31,20
71,Ankara,68,19
72,Antalya,53,35
73,Diyarbakir,52,34
74,Istanbul,38,15
75,Belfast,17,12
76,Cardiff,19,13
77,Glasgow,23,16
78,London,15,8
79,Manchester,18,13
80,Newcastle,22,8
82,Geneva,20,15
83,Zurich,21,15
